,Train_Acc,Train_Loss,Test_Acc,Test_Loss,,Training Accuracy Average:,78.1498474187
0,76.5342612834,0.163540027,75.7201646091,0.1659630204,,Training Loss Average:,0.1472679458
1,76.6896190101,0.1538249604,76.0533019792,0.1578106091,,Test Accuracy Average:,76.5304722712
2,77.3312045417,0.1514987733,76.4844209289,0.15651276,,Test Loss Average:,0.157589909
3,77.5361086964,0.1503378284,76.268861454,0.1564094474,,,
4,77.9165250125,0.1495745675,76.6607877719,0.1563545818,,,
5,77.9114864078,0.1491150351,76.5236135607,0.1563480798,,,
6,77.9064480915,0.1487838498,76.8959435626,0.156403486,,,
7,78.0819603409,0.1484878374,76.9547325103,0.1565847476,,,
8,78.0542480293,0.1482919242,76.7195767196,0.1567368464,,,
9,78.08112043,0.1480870963,77.0723104056,0.1568232405,,,
10,78.1399044588,0.1479111434,76.641191456,0.1568204186,,,
11,78.0206572881,0.1478076211,76.5432098765,0.156938472,,,
12,78.1298273475,0.1476682633,76.8567509308,0.1569321796,,,
13,78.0156185093,0.147594542,76.8371546149,0.1569984336,,,
14,77.9828673567,0.1474933158,76.6999804037,0.1569350906,,,
15,77.938359193,0.1474682889,76.8959435626,0.1570143894,,,
16,78.1558599795,0.147358263,76.7979619831,0.1570678001,,,
17,78.2961019202,0.1473262492,76.9155398785,0.1570451314,,,
18,77.9761492185,0.1472643371,76.5236135607,0.1571058437,,,
19,78.3666427859,0.1472181952,77.013521458,0.1571021363,,,
20,78.1281474015,0.1472359022,76.3472467176,0.1571475232,,,
21,78.1441033687,0.1471759398,76.4452282971,0.1571014624,,,
22,78.2473953931,0.1471832558,76.9939251421,0.1573022514,,,
23,78.0643249944,0.1471409311,76.641191456,0.1572028919,,,
24,77.5100757942,0.1471237941,76.2100725064,0.1572701416,,,
25,78.4052721558,0.1470424921,76.7783656673,0.1573786453,,,
26,78.2306001556,0.1470308615,76.7979619831,0.1572003934,,,
27,78.0853191878,0.1469680815,77.0331177739,0.1572332313,,,
28,78.3128974559,0.1469530852,76.7391730355,0.1574680773,,,
29,78.2524337655,0.1469594222,76.6019988242,0.1573214724,,,
30,78.077761463,0.146870144,76.6607877719,0.1573286322,,,
31,77.9685909951,0.1468677369,76.2296688223,0.1573205617,,,
32,78.2700691841,0.1468715148,76.3668430335,0.1573313361,,,
33,78.4338244785,0.1468034155,76.3668430335,0.1572689888,,,
34,78.1357057871,0.146879498,76.464824613,0.1573578336,,,
35,78.2793065626,0.1467883144,76.3668430335,0.1573186727,,,
36,77.7485709243,0.1467732058,75.9945130316,0.1572909517,,,
37,78.0928775393,0.1468073581,76.8371546149,0.1573541075,,,
38,78.3145771276,0.1467571241,76.641191456,0.1574665799,,,
39,78.4195482791,0.1466946972,76.6803840878,0.1573904443,,,
40,78.1902909819,0.1466921255,76.3472467176,0.1572781389,,,
41,78.3935155531,0.1466799758,76.7783656673,0.1574285142,,,
42,78.3674824226,0.1466536195,76.1904761905,0.1573547278,,,
43,78.4783326943,0.1467089649,76.6999804037,0.1574014641,,,
44,78.3884771346,0.1466480586,76.3668430335,0.1572645955,,,
45,78.3439689789,0.1466482518,76.3276504017,0.1573375534,,,
46,78.5203210211,0.1466488717,76.5236135607,0.1575128967,,,
47,78.4447413345,0.1465843304,76.4256319812,0.1572911172,,,
48,78.3095383448,0.1466006458,76.5824025083,0.157505737,,,
49,78.4867301899,0.1465723384,76.6607877719,0.1573509978,,,
50,78.3414496084,0.1466150754,76.9351361944,0.1575534301,,,
51,78.4984865724,0.1465749995,76.7979619831,0.1574012553,,,
52,78.5849833913,0.1466040882,76.5824025083,0.1575181682,,,
53,78.3070190505,0.1465940383,76.3864393494,0.1575701776,,,
54,78.2146442765,0.1465767036,76.3472467176,0.1574835084,,,
55,78.4707743488,0.1465439372,76.6999804037,0.1575380684,,,
56,78.1718158225,0.1465826947,76.1512835587,0.157623959,,,
57,78.0366125686,0.1465865674,76.0141093474,0.1575653525,,,
58,78.524519895,0.1465284399,76.4256319812,0.1575896597,,,
59,78.5362763416,0.1466360877,77.1310993533,0.1575654979,,,
60,78.2448759806,0.146590902,76.2100725064,0.1576486101,,,
61,78.0399717338,0.1466395834,76.5432098765,0.1576992984,,,
62,77.6696326331,0.146617561,76.5040172448,0.1575865073,,,
63,78.5329176469,0.1465932197,76.6999804037,0.157687258,,,
64,78.3380905654,0.146851113,76.3864393494,0.1578878416,,,
65,78.170136337,0.1466992882,76.5432098765,0.157797536,,,
66,78.5060448938,0.1465764615,76.4060356653,0.1578362639,,,
67,78.4229076185,0.1466085418,76.8959435626,0.1577149244,,,
68,78.140744624,0.1468357259,76.5628061924,0.1579581815,,,
69,78.2549533782,0.146678827,76.5040172448,0.1577798076,,,
70,78.3028198642,0.1466797668,76.6215951401,0.157817701,,,
71,78.1231089571,0.1466241874,76.7195767196,0.1578697677,,,
72,77.9601936738,0.1466090626,76.2100725064,0.1577855641,,,
73,77.4218999843,0.1466290326,76.2884577699,0.1579302593,,,
74,78.6874357409,0.1466991961,76.9351361944,0.1578714382,,,
75,77.8611005214,0.1466962011,76.2492651382,0.1580267903,,,
76,78.4245873883,0.1467280335,76.4844209289,0.157910541,,,
77,78.2608315594,0.1467939546,76.5236135607,0.1579305165,,,
78,76.4788366041,0.1470281973,75.2890456594,0.1580944517,,,
79,78.4388630972,0.1468688178,76.6607877719,0.1579750428,,,
80,78.3431292701,0.1468994357,76.5040172448,0.1581584283,,,
81,78.2809861162,0.1467650283,76.2100725064,0.1579770656,,,
82,76.548537629,0.1467029915,75.0734861846,0.1578964927,,,
83,78.2096056198,0.1467858735,76.7979619831,0.1579516346,,,
84,78.5480334249,0.1467217922,76.5040172448,0.1579887648,,,
85,78.6378889205,0.1468045372,76.6607877719,0.1579227766,,,
86,78.5178018609,0.1467502647,76.5236135607,0.1579968929,,,
87,78.0198173392,0.1467942867,76.464824613,0.1581241716,,,
88,78.2541134792,0.1468488322,76.4452282971,0.1580539475,,,
89,78.3448086996,0.1466441683,76.5432098765,0.1580159037,,,
90,78.5345970583,0.14668573,76.641191456,0.1580242601,,,
91,78.1214294956,0.1466813238,76.4060356653,0.1580117091,,,
92,78.4296257367,0.1466653427,76.9351361944,0.1581369232,,,
93,78.5446740895,0.1467074847,76.7587693514,0.1581617628,,,
94,78.4061122069,0.1466996079,76.6019988242,0.1580871235,,,
95,78.3750406079,0.1466856206,76.641191456,0.1581105408,,,
96,78.4413824716,0.1467043391,76.2296688223,0.1579940955,,,
97,77.8207915138,0.1466583598,76.0141093474,0.1581112604,,,
98,78.1180706047,0.1468301026,76.5628061924,0.1581918121,,,
99,78.4119904742,0.1468530762,76.641191456,0.1581713044,,,
