Index,Accident,Problem,Latitude,Longitude,Date,Time,Address,Route,Log_Mile,City,Event,Conditions,EventBefore,ConditionBefore,Hour,Temperature,Temp_Max,Temp_Min,Monthly_Avg_Temp,Daily_Avg_Temp,Relative_Temp,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Illumination,Operation,Speed_Limit,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,AADT,DHV,Pavement_Width,Pavement_Type
16,,No Injuries,35.038583,-85.284632,2019-05-13,17:25:31,1200 DUNCAN AVE,330A484001,0.062,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,clear-night,Clear,17,69.18,69.18,56.64,,,,46.06,0.44,5,0,6.92,0.56,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,30,15
17,,No Injuries,35.03704,-85.30703,2019-05-13,17:15:47,1400 Market St,33SR027001,4.62,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,17,69.19,69.19,56.64,,,,46.12,0.44,5,0,6.79,0.57,NA,0,0,-1000,0,1,0,0,0,0,2,2,0,1,2,35,4,4,21,1,16,15880,11,48,15
18,,No Injuries,35.110889,-85.283221,2019-05-13,17:08:44,427 Intermont Dr,330A051001,0.044,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,clear-night,Clear,17,68.55,68.55,55.65,,,,45.88,0.44,5,0,7.34,0.56,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,16,15
19,,No Injuries,35.036,-85.309719,2019-05-13,16:32:22,200 W 16th St,330D677001,0.065,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,16,68.47,69.19,56.65,,,,45.94,0.44,5,0,6.58,0.57,NA,0,0,-1000,0,1,0,0,0,0,2,0,0,,2,,2,2,12,4,19,,,28,15
20,,Unknown Injuries,35.082507,-85.059939,2019-05-13,16:14:27,5974 Elementary Way,33SR002001,21.073,COLLEGEDALE,partly-cloudy-day,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,16,67.97,68.97,55.62,,,,46.8,0.47,5,0,8.24,0.56,NA,0,0.0001,1557727200,0,1,0,0,0,0,2,2,0,0,2,45,4,4,21,1,16,31020,10,24,15
21,,Unknown Injuries,35.083266,-85.059978,2019-05-13,16:14:05,9230 LEE HWY,33SR002001,21.05,COLLEGEDALE,partly-cloudy-day,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,16,67.97,68.97,55.61,,,,46.8,0.47,5,0,8.24,0.56,NA,0,0.0001,1557727200,0,1,0,0,0,0,2,2,0,0,2,45,4,4,21,1,16,31020,10,24,15
22,,No Injuries,35.052295,-85.310664,2019-05-13,15:52:15,400 Broad St,3303561001,0.454,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,clear-night,Clear,15,67.62,68.73,56.68,,,,45.5,0.45,5,0,2.52,0.56,NA,0,0,-1000,0,1,0,0,0,0,2,2,0,1,2,30,6,6,18,4,16,9160,13,36,15
23,,No Injuries,35.093487,-85.06273,2019-05-13,14:17:04,6123 Mountain View Rd,3302207001,0.787,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,14,67.16,68.99,55.58,,,,47.06,0.48,5,0,8,0.56,NA,0,0.0001,1557727200,0,1,0,0,0,0,2,0,0,,2,40,2,2,18,2,17,7520,12,22,15
24,,No Injuries,35.093487,-85.06273,2019-05-13,14:16:44,6123 Mountain View Rd,3302207001,0.787,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,14,67.16,68.99,55.58,,,,47.06,0.48,5,0,8,0.56,NA,0,0.0001,1557727200,0,1,0,0,0,0,2,0,0,,2,40,2,2,18,2,17,7520,12,22,15
25,,Delayed,35.047807,-85.31414,2019-05-13,14:05:43,120 Highway 27 Nb,33I0124001,1.452,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,14,66.99,68.7,56.72,,,,45.49,0.46,5,0,6.49,0.57,NA,0,0,-1000,0,1,0,0,0,0,2,2,2,1,2,55,5,5,2,1,11,75960,10,24,15
26,,Unknown Injuries,34.996081,-85.206737,2019-05-13,13:51:22,100 Interstate 75 Nb,33I0075001,0.771,,partly-cloudy-day,Mostly Cloudy,clear-night,Clear,13,66.23,69.24,56.41,,,,47.45,0.51,5,0,7.26,0.56,NA,0,0.0001,1557727200,0,1,0,0,0,0,1,2,2,1,2,55,6,8,2,1,11,108850,9,36,15
27,,No Injuries,34.996081,-85.206737,2019-05-13,13:50:27,100 Interstate 75 Nb,33I0075001,0.771,,partly-cloudy-day,Mostly Cloudy,clear-night,Clear,13,66.23,69.24,56.41,,,,47.45,0.51,5,0,7.26,0.56,NA,0,0.0001,1557727200,0,1,0,0,0,0,1,2,2,1,2,55,6,8,2,1,11,108850,9,36,15
28,,No Injuries,35.049586,-85.307704,2019-05-13,13:21:11,601 Walnut St,3303550001,0.642,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,clear-night,Clear,13,65.53,68.7,56.66,,,,47.29,0.52,5,0,6.7,0.56,NA,0,0,-1000,0,1,0,0,0,0,2,2,0,1,1,35,2,2,18,4,17,3160,13,30,15
29,,Injuries,35.027024,-85.101104,2019-05-13,13:05:06,Standifer Gap Rd / Quail Run Dr,3302154001,1.45,HAMILTON COUNTY,partly-cloudy-day,Mostly Cloudy,clear-night,Clear,13,65.36,68.13,55.9,,,,48.39,0.54,5,0,7.52,0.55,NA,0,0.0002,1557727200,0,1,0,0,0,0,2,7,0,,2,35,2,2,18,2,16,5000,13,22,15
30,,Injuries,35.027024,-85.101104,2019-05-13,13:05:06,Standifer Gap Rd / Quail Run Dr,3302154001,1.45,HAMILTON COUNTY,partly-cloudy-day,Mostly Cloudy,clear-night,Clear,13,65.36,68.13,55.9,,,,48.39,0.54,5,0,7.52,0.55,NA,0,0.0002,1557727200,0,1,0,0,0,0,2,7,0,,2,35,2,2,18,2,16,5000,13,22,15
31,,Injuries,35.027024,-85.101104,2019-05-13,13:04:12,8700 QUAIL RUN DR,3302154001,1.45,HAMILTON COUNTY,partly-cloudy-day,Mostly Cloudy,clear-night,Clear,13,65.36,68.13,55.9,,,,48.39,0.54,5,0,7.52,0.55,NA,0,0.0002,1557727200,0,1,0,0,0,0,2,7,0,,2,35,2,2,18,2,16,5000,13,22,15
32,,Injuries,35.063063,-85.309414,2019-05-13,12:37:00,50 CHEROKEE BLVD,33SR008001,10.195,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,clear-night,Clear,12,65.31,68.89,56.49,,,,46.5,0.51,5,0,5.41,0.56,NA,0,0,-1000,0,1,0,0,0,0,2,2,0,1,2,35,4,4,21,1,16,15250,11,24,15
33,,Unknown Injuries,35.033906,-85.269301,2019-05-13,12:11:18,Mccallie Ave / N Lyerly St,3305403001,0.301,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,clear-night,Clear,12,65.5,69.12,56.66,,,,46.62,0.5,5,0,5.68,0.56,NA,0,0,-1000,0,1,0,0,0,0,2,2,0,1,2,35,4,4,18,4,16,14420,11,44,15
34,,No Injuries,35.033733,-85.268835,2019-05-13,12:05:53,2300 MCCALLIE AVE,3305403001,0.274,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,clear-night,Clear,12,65.5,69.12,56.66,,,,46.62,0.5,5,0,5.68,0.56,NA,0,0,-1000,0,1,0,0,0,0,2,2,0,1,2,35,4,4,18,4,16,14420,11,44,15
35,,No Injuries,35.098991,-85.173187,2019-05-13,11:32:58,5113 Highway 58,33SR058001,6.84,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,partly-cloudy-night,Partly Cloudy,11,63.56,68.59,55.92,,,,47.44,0.56,5,0,7.6,0.57,NA,0,0,-1000,0,1,0,0,0,0,,,,,,,,,13,1,14,30250,11,24,15
36,,Delayed,35.007179,-85.315154,2019-05-13,11:08:19,3800 Chandler Ave,3303574001,2.01,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,partly-cloudy-night,Partly Cloudy,11,63.86,69.31,56.44,,,,47.02,0.54,5,0,6.45,0.57,NA,0,0,-1000,0,1,0,0,0,0,2,4,0,1,2,35,2,2,18,4,16,8120,11,34,15
37,,No Injuries,35.125338,-85.237681,2019-05-13,10:53:28,2051 Hamill Rd,330E890001,0.12,CHATTANOOGA,clear-day,Clear,partly-cloudy-night,Partly Cloudy,10,62.31,69.2,56,,,,46.12,0.55,5,0,7.83,0.57,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,15,2,2,12,4,19,,,20,15
38,,No Injuries,35.026585,-85.259195,2019-05-13,10:52:16,51 S Crest Rd,3304984001,3.509,CHATTANOOGA,clear-day,Clear,clear-night,Clear,10,61.09,68.08,55.63,,,,46.32,0.58,5,0,5.9,0.56,NA,0,0,-1000,1,0,0,0,0,0,3,7,0,1,2,30,2,2,18,4,17,620,14,19,18
39,,Delayed,35.055843,-85.311021,2019-05-13,10:26:37,1 BROAD ST,3305395001,2.259,CHATTANOOGA,clear-day,Clear,clear-night,Clear,10,61.68,68.91,56.7,,,,46.19,0.57,5,0,5.19,0.56,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,25,2,2,16,4,16,14500,13,24,18
40,,No Injuries,35.071451,-85.333275,2019-05-13,10:13:06,120 Parmenas Ln,330A669001,0.151,CHATTANOOGA,clear-day,Clear,partly-cloudy-night,Partly Cloudy,10,61.43,68.86,56.13,,,,46.1,0.57,5,0,6.92,0.58,NA,0,0,-1000,1,0,0,0,0,0,,,,,,,,,,,,,,,
41,,Delayed,34.993129,-85.146235,2019-05-13,09:55:10,8319 Oak Dr,330E371001,0.295,CHATTANOOGA,clear-day,Clear,clear-night,Clear,9,59.83,68.89,56.27,,,,48.3,0.66,5,0,5.62,0.56,NA,0,0.0002,1557727200,1,0,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,14,15
42,,Unknown Injuries,35.07852,-85.202175,2019-05-13,09:32:57,420-449 Highway 153 Nb,33SR153001,4.346,CHATTANOOGA,clear-day,Clear,clear-night,Clear,9,59.8,68.81,56.41,,,,46.82,0.62,5,0,2.9,0.56,NA,0,0,-1000,1,0,0,0,0,0,2,4,2,0,2,55,6,8,13,1,12,75340,10,36,15
43,,Injuries,35.154608,-85.317162,2019-05-13,09:04:15,2000 Taft Hwy,330C277001,0.176,WALDEN,clear-day,Clear,partly-cloudy-night,Partly Cloudy,9,55.98,63.11,51.81,,,,46.46,0.7,5,0,2.6,0.6,NA,0,0,-1000,1,0,0,0,0,0,2,9,0,,2,,2,2,12,4,19,,,18,15
44,,Injuries,35.154608,-85.317162,2019-05-13,09:04:15,2000 Taft Hwy,330C277001,0.176,WALDEN,clear-day,Clear,partly-cloudy-night,Partly Cloudy,9,55.98,63.11,51.81,,,,46.46,0.7,5,0,2.6,0.6,NA,0,0,-1000,1,0,0,0,0,0,2,9,0,,2,,2,2,12,4,19,,,18,15
45,,No Injuries,35.154608,-85.317162,2019-05-13,09:03:23,2000 Taft Hwy,330C277001,0.176,WALDEN,clear-day,Clear,partly-cloudy-night,Partly Cloudy,9,55.98,63.11,51.81,,,,46.46,0.7,5,0,2.6,0.6,NA,0,0,-1000,1,0,0,0,0,0,2,9,0,,2,,2,2,12,4,19,,,18,15
46,,Injuries,35.153111,-85.319341,2019-05-13,09:02:13,1822 - 2199 Taft Hwy,33SR008001,19.658,WALDEN,clear-day,Clear,partly-cloudy-night,Partly Cloudy,9,56.03,63.19,51.85,,,,46.47,0.7,5,0,2.56,0.6,NA,0,0,-1000,1,0,0,0,0,0,2,7,0,1,2,40,2,2,21,1,16,11180,12,24,15
47,,Injuries,35.153111,-85.319341,2019-05-13,09:02:13,1822 - 2199 Taft Hwy,33SR008001,19.658,WALDEN,clear-day,Clear,partly-cloudy-night,Partly Cloudy,9,56.03,63.19,51.85,,,,46.47,0.7,5,0,2.56,0.6,NA,0,0,-1000,1,0,0,0,0,0,2,7,0,1,2,40,2,2,21,1,16,11180,12,24,15
48,,Injuries,35.152044,-85.319999,2019-05-13,09:01:38,1822 - 2199 TAFT HWY,330G443001,0.002,WALDEN,clear-day,Clear,partly-cloudy-night,Partly Cloudy,9,56.06,63.22,51.88,,,,46.47,0.7,5,0,2.55,0.6,NA,0,0,-1000,1,0,0,0,0,0,2,7,0,0,2,30,2,2,12,4,19,510,12,18,6
49,,No Injuries,35.035284,-85.304629,2019-05-13,08:52:47,215 E Main St,33SR008001,7.927,CHATTANOOGA,clear-day,Clear,clear-night,Clear,8,57.76,69.18,56.59,,,,48.94,0.72,5,0,3.15,0.56,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,35,2,2,21,1,16,10860,12,24,15
50,,No Injuries,35.006514,-85.153463,2019-05-13,08:46:29,7904 E Brainerd Rd,33SR320001,3.524,CHATTANOOGA,clear-day,Clear,clear-night,Clear,8,57.9,69.17,56.37,,,,49.67,0.74,5,0,4.11,0.56,NA,0,0.0001,1557727200,1,0,0,0,0,0,2,2,0,1,2,40,4,4,21,1,14,28570,10,22,15
51,,Injuries,35.038841,-85.171139,2019-05-13,08:43:36,6734 Lee Hwy,33SR002001,17.746,CHATTANOOGA,clear-day,Clear,clear-night,Clear,8,57.81,69.01,56.19,,,,49.35,0.73,5,0,4.11,0.56,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,40,4,4,13,1,14,19990,11,24,15
52,,Injuries,35.038841,-85.171139,2019-05-13,08:43:36,6734 Lee Hwy,33SR002001,17.746,CHATTANOOGA,clear-day,Clear,clear-night,Clear,8,57.81,69.01,56.19,,,,49.35,0.73,5,0,4.11,0.56,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,40,4,4,13,1,14,19990,11,24,15
53,,Injuries,35.038841,-85.171139,2019-05-13,08:42:13,6734 Lee Hwy,33SR002001,17.746,CHATTANOOGA,clear-day,Clear,clear-night,Clear,8,57.81,69.01,56.19,,,,49.35,0.73,5,0,4.11,0.56,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,40,4,4,13,1,14,19990,11,24,15
54,,Unknown Injuries,34.996081,-85.206737,2019-05-13,08:07:43,100 Interstate 75 Nb,33I0075001,0.771,,clear-day,Clear,clear-night,Clear,8,57.85,69.24,56.41,,,,49.62,0.74,5,0,3.86,0.56,NA,0,0.0001,1557727200,1,0,0,0,0,0,1,2,2,1,2,55,6,8,2,1,11,108850,9,36,15
55,,Unknown Injuries,34.996081,-85.206737,2019-05-13,08:05:36,100 Interstate 75 Nb,33I0075001,0.771,,clear-day,Clear,clear-night,Clear,8,57.85,69.24,56.41,,,,49.62,0.74,5,0,3.86,0.56,NA,0,0.0001,1557727200,1,0,0,0,0,0,1,2,2,1,2,55,6,8,2,1,11,108850,9,36,15
56,,No Injuries,35.027258,-85.315761,2019-05-13,08:02:55,300 W 26th St,330A658001,0.2,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,partly-cloudy-night,Partly Cloudy,8,57.6,68.93,56.84,,,,48.58,0.72,5,0,2.78,0.57,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,30,18
57,,Unknown Injuries,35.046753,-85.286955,2019-05-13,07:38:15,1117 E 3rd St,3303552001,1.365,CHATTANOOGA,clear-day,Clear,clear-night,Clear,7,56.82,68.9,56.82,,,,49.11,0.75,5,0,3,0.56,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,30,4,4,18,4,16,12970,11,22,15
58,,Injuries,35.030034,-85.368026,2019-05-13,07:37:08,3346 Browndell Dr,330C062001,0.207,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,partly-cloudy-night,Partly Cloudy,7,55.63,69.15,55.63,,,,48.73,0.78,5,0,3.79,0.57,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,22,15
59,,Injuries,35.030034,-85.368026,2019-05-13,07:37:08,3346 Browndell Dr,330C062001,0.207,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,partly-cloudy-night,Partly Cloudy,7,55.63,69.15,55.63,,,,48.73,0.78,5,0,3.79,0.57,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,22,15
60,,Injuries,35.030034,-85.368026,2019-05-13,07:35:24,3346 Browndell Dr,330C062001,0.207,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,partly-cloudy-night,Partly Cloudy,7,55.63,69.15,55.63,,,,48.73,0.78,5,0,3.79,0.57,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,22,15
61,,No Injuries,35.013587,-85.182854,2019-05-13,07:34:47,310 - 359 Interstate 75 Sb,33I0075001,3.106,CHATTANOOGA,clear-day,Clear,clear-night,Clear,7,56.29,69,56.29,,,,50.25,0.8,5,0,3.48,0.56,NA,0,0.0001,1557727200,1,0,0,0,0,0,2,2,2,0,2,55,8,8,2,1,11,129750,9,48,18
62,,No Injuries,35.014507,-85.181455,2019-05-13,07:34:02,310-359 Interstate 75 Sb,33I0075001,3.211,CHATTANOOGA,clear-day,Clear,clear-night,Clear,7,56.27,68.97,56.27,,,,50.24,0.8,5,0,3.48,0.56,NA,0,0.0001,1557727200,1,0,0,0,0,0,2,2,2,0,2,55,6,7,2,1,11,129750,9,48,18
63,,No Injuries,35.240711,-85.010652,2019-05-13,07:28:46,10700 HIGHWAY 58,330E178001,0.027,HAMILTON COUNTY,clear-day,Clear,partly-cloudy-night,Partly Cloudy,7,53.61,68.59,53.61,,,,49.54,0.86,5,0,8.61,0.62,NA,0,0,-1000,1,0,0,0,0,0,2,0,0,,2,,2,2,11,2,9,,,22,15
64,,No Injuries,35.052518,-85.304954,2019-05-13,07:09:01,407 E 4TH ST,3303552001,0.265,CHATTANOOGA,clear-day,Clear,clear-night,Clear,7,56.74,68.76,56.74,,,,48.95,0.75,5,0,2.98,0.56,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,30,4,4,18,4,16,18840,11,24,15
65,,No Injuries,34.987418,-85.278252,2019-05-13,07:08:53,660-799 S Crest Rd,3304984001,0.391,CHATTANOOGA,clear-day,Clear,clear-night,Clear,7,55.79,68.23,55.79,,,,49.72,0.8,5,0,3.32,0.57,NA,0,0,-1000,1,0,0,0,0,0,3,7,0,1,2,30,2,2,18,4,17,620,14,19,18
66,,No Injuries,35.005729,-85.096785,2019-05-13,07:07:32,2015 Ooltewah Ringgold Rd,330A573001,0.092,HAMILTON COUNTY,clear-day,Clear,clear-night,Clear,7,56.25,68.65,56.25,,,,50.64,0.81,5,0,3.68,0.56,NA,0,0.0003,1557723600,1,0,0,0,0,0,2,0,0,,2,,2,2,11,2,19,,,24,15
67,,No Injuries,34.995411,-85.306947,2019-05-13,06:23:01,480 Workman Rd,3303615001,0.044,CHATTANOOGA,partly-cloudy-night,Partly Cloudy,partly-cloudy-night,Partly Cloudy,6,59.03,69.38,56.5,,,,50.54,0.73,5,0,3.03,0.56,NA,0,0,-1000,0,1,0,0,0,0,,5,0,1,2,30,2,2,18,4,17,4800,12,22,15
68,,No Injuries,35.122554,-85.240958,2019-05-13,05:18:30,1920 Hamill Rd,3304133001,0.603,CHATTANOOGA,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,5,60.69,69.2,56.02,,,,49.9,0.68,5,0,4.64,0.57,NA,0,0,-1000,0,1,0,0,0,0,,7,0,,2,,2,2,18,4,16,6100,13,20,15
69,,Unknown Injuries,35.01545,-85.144062,2019-05-13,04:16:54,1713 JENKINS RD,3303607001,1.439,CHATTANOOGA,cloudy,Overcast,clear-night,Clear,4,63.18,68.99,56.24,,,,54.28,0.73,5,0,5.84,0.56,NA,0,0.0001,1557727200,0,1,0,0,0,0,2,4,0,1,2,35,2,2,18,4,16,9100,12,22,15
70,,Injuries,35.265016,-85.213682,2019-05-13,00:42:43,1400 - 1807 Mowbray Pike,3305776001,0.346,HAMILTON COUNTY,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,0,68.25,71.36,62.35,,,,66.01,0.93,5,0,8.5,0.86,rain,0.0064,0.0393,1557651600,0,1,0,0,0,0,2,0,0,,2,,2,2,11,2,8,1180,11,20,15
71,,Injuries,35.265016,-85.213682,2019-05-13,00:42:43,1400 - 1807 Mowbray Pike,3305776001,0.346,HAMILTON COUNTY,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,0,68.25,71.36,62.35,,,,66.01,0.93,5,0,8.5,0.86,rain,0.0064,0.0393,1557651600,0,1,0,0,0,0,2,0,0,,2,,2,2,11,2,8,1180,11,20,15
72,,Injuries,35.26661,-85.215137,2019-05-13,00:41:59,1424 MOWBRAY PIKE,3305776001,0.48,HAMILTON COUNTY,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,0,68.22,71.33,62.4,,,,66,0.93,5,0,8.5,0.86,rain,0.0065,0.0395,1557651600,0,1,0,0,0,0,2,0,0,,2,45,2,2,11,2,8,1180,11,20,15