Accident,Latitude,Longitude,Date,Year,Time,Address,Route,Log_Mile,City,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Intensity,Precip_Intensity_Max,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,DayFrame,Event,Conditions
1,35.02629,-85.323702,2017-03-12,,0:09:50,17800 I-24 EB,33I0024002,7.082,,0,34.75,53.86,32.78,32.04,0.9,3,6,5.91,0.41,0.0031,0.0096,0,1,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,1,,
1,35.028932,-85.322434,2017-03-12,,0:14:19,17820 - 17879 I-24 Eb,33I0024002,7.279,,0,34.74,53.85,32.78,32.04,0.9,3,6,5.93,0.41,0.0031,0.0096,0,1,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,1,,
1,35.02629,-85.323702,2017-03-12,,0:14:20,17800 I-24 EB,33I0024002,7.082,,0,34.75,53.86,32.78,32.04,0.9,3,6,5.91,0.41,0.0031,0.0096,0,1,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,1,,
1,35.024818,-85.288876,2017-03-12,,1:19:41,1812 S Greenwood Ave,330A570001,0.623,,1,34.61,53.81,32.79,32.04,0.9,3,6,5.64,0.4,0.0031,0.0093,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,18,15,1,,
1,35.011137,-85.271752,2017-03-12,,3:43:36,2490 - 2549 WESTSIDE DR,33SR008001,5.396,,3,32.43,53.12,32.09,30.66,0.93,3,6,5.09,0.42,0.0032,0.0105,0,1,0,0,0,0,2,2,0,2,3,3,13,1,14,36,15,1,,
1,35.030938,-85.277406,2017-03-12,,5:28:40,S Orchard Knob Ave / Vance Ave,330A490001,0.406,,5,33.07,53.68,32.75,29.87,0.88,3,6,6.68,0.4,0.003,0.0092,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,30,15,2,,
1,35.024818,-85.288876,2017-03-12,,6:19:35,1812 S Greenwood Ave,330A570001,0.623,,6,33.39,53.81,32.79,29.51,0.85,3,6,6.59,0.4,0.0031,0.0093,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,18,15,2,,
1,35.020718,-85.254241,2017-03-12,,8:13:35,3911 Brainerd Rd,330B287001,0.318,,8,32.16,53.08,32.16,25.88,0.77,3,6,6.61,0.42,0.0031,0.01,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,14,15,2,,
1,35.026885,-85.305356,2017-03-12,,10:42:58,17939 I-24 Eb,33I0024002,8.415,,10,38.84,53.8,32.78,24.54,0.56,3,6,6.08,0.41,0.0031,0.0092,0,1,0,0,0,0,2,2,2,2,6,8,2,1,11,36,15,3,,
1,35.02908,-85.310838,2017-03-12,,10:47:01,17900 I-24 EB,33I0024002,8.071,,10,38.84,53.81,32.77,24.53,0.56,3,6,6.03,0.41,0.0031,0.0095,0,1,0,0,0,0,2,2,2,2,6,8,2,1,11,36,18,3,,
1,35.062573,-85.130056,2017-03-12,,13:23:58,7734 Lee Hwy,330E479001,0.267,,13,47.91,53.25,32.07,26.96,0.44,3,6,6.6,0.42,0.0034,0.0117,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,12,15,4,,
1,34.995506,-85.148309,2017-03-12,,13:31:40,Graysville Rd / Iris Rd,3303608001,0.596,,13,48.21,53.61,32.51,26.85,0.43,3,6,6.53,0.43,0.0034,0.012,0,1,0,0,0,0,2,7,0,2,2,2,18,4,16,20,15,4,,
1,35.057458,-85.192143,2017-03-12,,13:45:01,270 Highway 153 Sb,33SR153001,2.774,,13,48.68,53.68,32.77,25.92,0.41,3,6,7.81,0.44,0.0029,0.0088,0,1,0,0,0,0,2,4,2,2,6,8,13,1,12,36,15,4,,
1,35.046845,-85.304621,2017-03-12,,13:57:21,428 MCCALLIE AVE,3305403001,2.501,,13,48.68,53.71,32.65,26.07,0.41,3,6,6.42,0.39,0.003,0.0095,1,0,0,0,0,0,2,2,0,2,2,2,18,4,16,14,15,4,,
1,35.046937,-85.304225,2017-03-12,,13:57:39,400-499 Mccallie Ave,3305403001,2.482,,13,48.68,53.71,32.66,26.06,0.41,3,6,6.43,0.39,0.003,0.0095,1,0,0,0,0,0,2,2,0,2,2,2,18,4,16,14,15,4,,
1,35.047183,-85.237634,2017-03-12,,14:17:55,3300-3449 Wilcox Blvd,3303556001,2.397,,14,50.21,53.25,32.49,26.61,0.4,3,6,7.15,0.43,0.0029,0.0088,0,1,0,0,0,0,2,4,0,2,2,2,18,4,16,12,15,4,,
1,34.99941,-85.13381,2017-03-12,,14:20:59,8644 E Brainerd Rd,330E315001,0.106,,14,50.58,53.46,32.18,26.77,0.39,3,6,6.3,0.43,0.0036,0.0165,0,1,0,0,0,0,2,4,0,2,2,2,12,4,19,24,15,4,,
1,35.041303,-85.153824,2017-03-12,,14:22:43,7300 Shallowford Rd,3304986001,2.163,,14,50.49,53.6,32.58,27.19,0.4,3,6,7.19,0.44,0.0032,0.0102,0,1,0,0,0,0,2,2,0,2,3,3,18,4,17,12,15,4,,
1,35.080761,-85.179538,2017-03-12,,14:24:02,7755 Vista Hills Dr,330D259001,0.064,,14,50.45,53.52,32.44,27,0.4,3,6,7.08,0.43,0.003,0.0097,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,20,15,4,,
1,35.033138,-85.155434,2017-03-12,,15:29:09,2107 Gunbarrel Rd,3304987001,1.314,,15,51.79,53.62,32.6,26.23,0.37,3,6,7.22,0.44,0.0032,0.0101,1,0,0,0,0,0,2,7,0,2,4,4,18,4,14,24,15,4,,
1,35.030081,-85.153146,2017-03-12,,15:30:44,2020 Gunbarrel Rd,3305787001,0.129,,15,51.75,53.6,32.57,26.27,0.37,3,6,7.13,0.44,0.0033,0.0104,1,0,0,0,0,0,2,2,0,2,2,2,18,4,17,12,15,4,,
1,35.108847,-85.226242,2017-03-12,,15:40:46,5500-5699 LAKE RESORT DR,3304135001,0.126,,15,52.03,53.53,32.27,25.36,0.35,3,6,7.15,0.38,0.003,0.0105,1,0,0,0,0,0,2,9,0,2,2,2,18,4,16,24,15,4,,
1,35.021184,-85.265255,2017-03-12,,16:30:35,2800 - 2895 E Main St,3304985001,0.26,,16,52.64,53.1,32.16,24.53,0.33,3,6,6.5,0.42,0.0031,0.0101,1,0,0,0,0,0,2,7,0,2,2,2,18,4,17,24,15,4,,
1,35.004629,-85.328588,2017-03-12,,16:38:16,4200 St Elmo Ave,330A727001,0.336,,16,53,53.47,32.4,24.9,0.33,3,6,5.24,0.39,0.0033,0.0098,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,30,15,4,,
1,35.00022,-85.218172,2017-03-12,,16:50:38,930 SPRING CREEK RD,3303609001,0.81,,16,53.28,53.78,32.81,24.61,0.33,3,6,7.27,0.44,0.0031,0.0094,1,0,0,0,0,0,2,7,0,2,2,2,18,4,16,24,15,4,,
1,34.996081,-85.206737,2017-03-12,,16:52:31,100 I-75 Nb,33I0075001,0.771,,16,53.28,53.78,32.8,24.64,0.33,3,6,7.19,0.44,0.0031,0.0095,1,0,0,0,0,0,1,2,2,2,6,8,2,1,11,36,15,4,,
1,35.008246,-85.200274,2017-03-12,,17:45:31,200 I-75 Sb,33I0075001,2.029,,17,53.75,53.75,32.83,22.65,0.29,3,6,7.57,0.44,0.003,0.0093,1,0,0,0,0,0,2,4,2,2,8,8,2,1,11,48,18,4,,
1,35.021809,-85.297892,2017-03-12,,18:14:29,18000 I-24 EB,33I0024002,8.966,,18,52.94,53.85,32.79,22.38,0.3,3,6,6.48,0.39,0.0031,0.0094,1,0,0,0,0,0,2,2,2,2,6,8,2,1,11,36,15,1,,
1,35.02908,-85.310838,2017-03-12,,18:14:34,17900 I-24 EB,33I0024002,8.071,,18,52.94,53.81,32.77,22.49,0.3,3,6,6.03,0.41,0.0031,0.0095,1,0,0,0,0,0,2,2,2,2,6,8,2,1,11,36,18,1,,
1,35.018623,-85.289703,2017-03-12,,18:20:26,I-24 Eb / I-24 Eb @ Rossville Blvd Nb - On Ramp,33I0024002,9.528,,18,52.93,53.83,32.79,22.35,0.3,3,6,6.54,0.4,0.0031,0.0094,1,0,0,0,0,0,2,2,2,2,6,7,2,1,11,36,15,1,,
1,35.021809,-85.297892,2017-03-12,,18:24:14,18000 I-24 EB,33I0024002,8.966,,18,52.94,53.85,32.79,22.38,0.3,3,6,6.48,0.39,0.0031,0.0094,1,0,0,0,0,0,2,2,2,2,6,8,2,1,11,36,15,1,,
1,35.02493,-85.290036,2017-03-12,,19:16:18,1900 S HOLTZCLAW AVE,330A570001,0.688,,19,49.35,53.81,32.79,23.68,0.36,3,6,6.57,0.4,0.0031,0.0093,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,18,15,1,,
1,35.101109,-85.331007,2017-03-12,,20:16:06,905 Signal Mountain Rd,330A033001,0.11,,20,45.16,53.58,32.28,24.72,0.44,3,6,6.75,0.37,0.003,0.0101,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,14,15,1,,
1,34.990832,-85.282615,2017-03-12,,20:22:31,4310 14th Ave,330A916001,0.461,,20,44.82,53.36,32.24,25.84,0.47,3,6,5.89,0.44,0.0033,0.0107,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,24,15,1,,
1,35.101109,-85.331007,2017-03-12,,20:28:44,905 Signal Mountain Rd,330A033001,0.11,,20,45.16,53.58,32.28,24.72,0.44,3,6,6.75,0.37,0.003,0.0101,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,14,15,1,,
1,35.091783,-85.221331,2017-03-12,,21:38:35,570 - 709 Highway 153 Nb,33SR153001,5.77,,21,42.34,53.67,32.56,26.31,0.53,3,6,6.81,0.4,0.003,0.0095,1,0,0,0,0,0,2,4,2,2,4,6,13,1,12,24,15,1,,
1,35.094951,-85.225464,2017-03-12,,21:38:36,570-709 HIGHWAY 153 SB,33SR153001,6.089,,21,42.52,53.74,32.62,26.19,0.52,3,6,6.87,0.4,0.0028,0.0097,1,0,0,0,0,0,2,4,2,2,4,4,13,1,12,24,15,1,,
1,35.08082,-85.06329,2017-03-12,,22:29:36,5588 Little Debbie Pkwy,3304976001,1.598,,22,39.68,53.48,32.39,26.15,0.58,3,6,5.99,0.42,0.0034,0.0107,1,0,0,0,0,0,2,2,0,2,2,2,18,4,16,12,15,1,,
