Model,ModelType,Date,TP,FN,TN,FP,Recall,Specificity,Precision,F1 Score
SS 5050 T3,LR,1/1/2020,37,28,3137,632,56.92,83.23,5.53,10.08
SS 5050 T3,LR,1/2/2020,56,37,3650,730,60.22,83.33,7.12,12.74
SS 5050 T3,LR,1/3/2020,89,56,3631,697,61.38,83.90,11.32,19.12
SS 5050 T3,LR,1/4/2020,50,8,3679,736,86.21,83.33,6.36,11.85
SS 5050 T3,LR,1/5/2020,27,12,3675,759,69.23,82.88,3.44,6.55
SS 5050 T3,LR,1/6/2020,63,14,3673,723,81.82,83.55,8.02,14.60
SS 5050 T3,LR,1/7/2020,78,27,3660,708,74.29,83.79,9.92,17.51
SS 5050 T3,LR,1/8/2020,54,39,3648,732,58.06,83.29,6.87,12.29
SS 5050 T3,LR,1/9/2020,58,27,3660,728,68.24,83.41,7.38,13.32
SS 5050 T3,LR,1/10/2020,43,29,3658,743,59.72,83.12,5.47,10.02
SS 5050 T3,LR,1/11/2020,73,36,3651,713,66.97,83.66,9.29,16.31
SS 5050 T3,LR,1/12/2020,93,25,3662,693,78.81,84.09,11.83,20.58
SS 5050 T3,LR,1/13/2020,48,66,3621,738,42.11,83.07,6.11,10.67
SS 5050 T3,LR,1/14/2020,74,25,3662,712,74.75,83.72,9.41,16.72
SS 5050 T3,LR,1/15/2020,41,46,3641,745,47.13,83.01,5.22,9.39
SS 5050 T3,LR,1/16/2020,50,11,3676,736,81.97,83.32,6.36,11.81
SS 5050 T3,LR,1/17/2020,50,34,3653,736,59.52,83.23,6.36,11.49
SS 5050 T3,LR,1/18/2020,130,29,3658,656,81.76,84.79,16.54,27.51
SS 5050 T3,LR,1/19/2020,41,21,3666,745,66.13,83.11,5.22,9.67
SS 5050 T3,LR,1/20/2020,50,34,3653,736,59.52,83.23,6.36,11.49
SS 5050 T3,LR,1/21/2020,64,27,3660,722,70.33,83.52,8.14,14.60
SS 5050 T3,LR,1/22/2020,60,16,3671,726,78.95,83.49,7.63,13.92
SS 5050 T3,LR,1/23/2020,99,31,3656,687,76.15,84.18,12.60,21.62
SS 5050 T3,LR,1/24/2020,63,51,3636,723,55.26,83.41,8.02,14.00
SS 5050 T3,LR,1/25/2020,52,19,3668,734,73.24,83.33,6.62,12.14
SS 5050 T3,LR,1/26/2020,36,20,3667,750,64.29,83.02,4.58,8.55
SS 5050 T3,LR,1/27/2020,58,48,3639,728,54.72,83.33,7.38,13.00
SS 5050 T3,LR,1/28/2020,45,23,3664,741,66.18,83.18,5.73,10.54
SS 5050 T3,LR,1/29/2020,58,23,3664,728,71.60,83.42,7.38,13.38
SS 5050 T3,LR,1/30/2020,33,19,3668,753,63.46,82.97,4.20,7.88
SS 5050 T3,LR,1/31/2020,54,37,3650,732,59.34,83.30,6.87,12.31
TS 5050 FS TA ,MLP,1/1/2020,34,31,3150,727,52.31,81.25,4.47,8.23
TS 5050 FS TA ,MLP,1/2/2020,46,47,4052,454,49.46,89.92,9.2,15.51
TS 5050 FS TA ,MLP,1/3/2020,84,62,3886,567,57.53,87.27,12.9,21.08
TS 5050 FS TA ,MLP,1/4/2020,38,20,3673,868,65.52,80.89,4.19,7.88
TS 5050 FS TA ,MLP,1/5/2020,30,9,3942,618,76.92,86.45,4.63,8.73
TS 5050 FS TA ,MLP,1/6/2020,48,29,3862,660,62.34,85.4,6.78,12.23
TS 5050 FS TA ,MLP,1/7/2020,60,45,3709,785,57.14,82.53,7.1,12.63
TS 5050 FS TA ,MLP,1/8/2020,53,40,4010,496,56.99,88.99,9.65,16.51
TS 5050 FS TA ,MLP,1/9/2020,53,32,3665,849,62.35,81.19,5.88,10.74
TS 5050 FS TA ,MLP,1/10/2020,46,26,3878,649,63.89,85.66,6.62,11.99
TS 5050 FS TA ,MLP,1/11/2020,64,45,3761,729,58.72,83.76,8.07,14.19
TS 5050 FS TA ,MLP,1/12/2020,62,56,3971,510,52.54,88.62,10.84,17.97
TS 5050 FS TA ,MLP,1/13/2020,45,69,3774,711,39.47,84.15,5.95,10.34
TS 5050 FS TA ,MLP,1/14/2020,75,24,3715,785,75.76,82.56,8.72,15.64
TS 5050 FS TA ,MLP,1/15/2020,49,38,3868,644,56.32,85.73,7.07,12.56
TS 5050 FS TA ,MLP,1/16/2020,46,15,3973,565,75.41,87.55,7.53,13.69
TS 5050 FS TA ,MLP,1/17/2020,53,31,3810,705,63.1,84.39,6.99,12.59
TS 5050 FS TA ,MLP,1/18/2020,84,75,3907,533,52.83,88,13.61,21.65
TS 5050 FS TA ,MLP,1/19/2020,33,29,3788,749,53.23,83.49,4.22,7.82
TS 5050 FS TA ,MLP,1/20/2020,49,35,4022,493,58.33,89.08,9.04,15.65
TS 5050 FS TA ,MLP,1/21/2020,58,33,3841,667,63.74,85.2,8,14.22
TS 5050 FS TA ,MLP,1/22/2020,61,15,3631,892,80.26,80.28,6.4,11.86
TS 5050 FS TA ,MLP,1/23/2020,84,46,3827,642,64.62,85.63,11.57,19.63
TS 5050 FS TA ,MLP,1/24/2020,69,45,3873,612,60.53,86.35,10.13,17.36
TS 5050 FS TA ,MLP,1/25/2020,43,28,3859,669,60.56,85.23,6.04,10.98
TS 5050 FS TA ,MLP,1/26/2020,25,31,3822,721,44.64,84.13,3.35,6.23
TS 5050 FS TA ,MLP,1/27/2020,63,43,3868,625,59.43,86.09,9.16,15.87
TS 5050 FS TA ,MLP,1/28/2020,37,31,3963,568,54.41,87.46,6.12,11
TS 5050 FS TA ,MLP,1/29/2020,54,27,3860,658,66.67,85.44,7.58,13.62
TS 5050 FS TA ,MLP,1/30/2020,29,23,4050,497,55.77,89.07,5.51,10.03
TS 5050 FS TA ,MLP,1/31/2020,48,43,3701,807,52.75,82.1,5.61,10.15
